Test,Error_Maximo,Error_RMS,N_Puntos
Test 1: Lineal 1er Orden,0.0001927703313380491,0.000107200809215524,500
Test 2: Cuadrática,0.04411974090735149,0.008709627796890803,500
Test 3: Trigonométrica,0.021899863177958112,0.0054711156828229955,500
Test 4: Cúbica,0.00023280688767524094,0.000122437430266057,500
Test 5: Oscilador Armónico,0.04876522187209137,0.023419705857527562,1000
Test 6: Péndulo Amortiguado,0.036328332572970606,0.02130266495589805,1000
Test 7: Duffing,1.0444225323920369,0.3490625884276412,2000
Test 8: Van der Pol,1.4411721751141582,0.45258919669694436,2000
